"IDW","WILAYA","DAIRA","COMMUNE","CS","ETA","TYPE","SERVICE","UNITE","LT","LO"
17,"Djelfa","Ain Oussera","Ain Oussera","Ain Oussera","SAADAOUI_Mokhtar","EPH","chirurgie generale",2,40,40
17,"Djelfa","Ain Oussera","Ain Oussera","Ain Oussera","SAADAOUI_Mokhtar","EPH","epidemiologie",2,0,0
17,"Djelfa","Ain Oussera","Ain Oussera","Ain Oussera","SAADAOUI_Mokhtar","EPH","gyneco obstetrique",2,30,30
17,"Djelfa","Ain Oussera","Ain Oussera","Ain Oussera","SAADAOUI_Mokhtar","EPH","radio centrale",2,0,0
17,"Djelfa","Ain Oussera","Ain Oussera","Ain Oussera","SAADAOUI_Mokhtar","EPH","laboratoire centrale",2,0,0
17,"Djelfa","Ain Oussera","Ain Oussera","Ain Oussera","SAADAOUI_Mokhtar","EPH","medecine interne",4,40,40
17,"Djelfa","Ain Oussera","Ain Oussera","Ain Oussera","SAADAOUI_Mokhtar","EPH","pediatrie",2,16,16
17,"Djelfa","Ain Oussera","Ain Oussera","Ain Oussera","SAADAOUI_Mokhtar","EPH","pharmacie",2,0,0
17,"Djelfa","Ain Oussera","Ain Oussera","Ain Oussera","SAADAOUI_Mokhtar","EPH","umc",2,20,20
17,"Djelfa","Birine","Birine","Ain Oussera","eph_bi","EPH","chirurgie generale",2,15,15
17,"Djelfa","Birine","Birine","Ain Oussera","eph_bi","EPH","epidemiologie",2,0,0
17,"Djelfa","Birine","Birine","Ain Oussera","eph_bi","EPH","gyneco obstetrique",2,15,15
17,"Djelfa","Birine","Birine","Ain Oussera","eph_bi","EPH","radio centrale",2,0,0
17,"Djelfa","Birine","Birine","Ain Oussera","eph_bi","EPH","laboratoire centrale",2,0,0
17,"Djelfa","Birine","Birine","Ain Oussera","eph_bi","EPH","medecine interne",2,12,12
17,"Djelfa","Birine","Birine","Ain Oussera","eph_bi","EPH","pediatrie",2,12,12
17,"Djelfa","Birine","Birine","Ain Oussera","eph_bi","EPH","pharmacie",2,0,0
17,"Djelfa","Birine","Birine","Ain Oussera","eph_bi","EPH","umc",2,6,6
17,"Djelfa","Hassi Bahbah","Hassi Bahbah","Hassi Bahbah","BOUGERA_Ahmed","EPH","chirurgie generale",4,60,60
17,"Djelfa","Hassi Bahbah","Hassi Bahbah","Hassi Bahbah","BOUGERA_Ahmed","EPH","epidemiologie",2,0,0
17,"Djelfa","Hassi Bahbah","Hassi Bahbah","Hassi Bahbah","BOUGERA_Ahmed","EPH","gyneco obstetrique",2,30,30
17,"Djelfa","Hassi Bahbah","Hassi Bahbah","Hassi Bahbah","BOUGERA_Ahmed","EPH","radio centrale",2,0,0
17,"Djelfa","Hassi Bahbah","Hassi Bahbah","Hassi Bahbah","BOUGERA_Ahmed","EPH","laboratoire centrale",2,0,0
17,"Djelfa","Hassi Bahbah","Hassi Bahbah","Hassi Bahbah","BOUGERA_Ahmed","EPH","medecine interne",6,50,50
